"DEPARTAMENTO_FALLECIMIENTO","PROVINCIA_FALLECIMIENTO","RATIO"
"AMAZONAS","BAGUA",1.97159090909091
"AMAZONAS","BONGARA",0.942028985507246
"AMAZONAS","CHACHAPOYAS",1.08059701492537
"AMAZONAS","CONDORCANQUI",2.46153846153846
"AMAZONAS","LUYA",1.5
"AMAZONAS","RODRIGUEZ DE MENDOZA",1.17647058823529
"AMAZONAS","UTCUBAMBA",1.52158273381295
"ANCASH","AIJA",0.956521739130435
"ANCASH","ANTONIO RAIMONDI",1.20754716981132
"ANCASH","ASUNCION",0.602150537634409
"ANCASH","BOLOGNESI",1.12765957446809
"ANCASH","CARHUAZ",1.16666666666667
"ANCASH","CARLOS FERMIN FITZCARRALD",1.40677966101695
"ANCASH","CASMA",2.20610687022901
"ANCASH","CORONGO",1.13636363636364
"ANCASH","HUARAZ",1.47233606557377
"ANCASH","HUARI",0.911347517730496
"ANCASH","HUARMEY",1.06569343065693
"ANCASH","HUAYLAS",1.31696428571429
"ANCASH","MARISCAL LUZURIAGA",1.03157894736842
"ANCASH","OCROS",2
"ANCASH","PALLASCA",1.03191489361702
"ANCASH","POMABAMBA",1.13223140495868
"ANCASH","RECUAY",1.01408450704225
"ANCASH","SANTA",1.89157155399473
"ANCASH","SIHUAS",0.993243243243243
"ANCASH","SIN REGISTRO",0
"ANCASH","YUNGAY",1.05485232067511
"APURIMAC","ABANCAY",1.27695167286245
"APURIMAC","ANDAHUAYLAS",1.50556792873051
"APURIMAC","ANTABAMBA",1.02325581395349
"APURIMAC","AYMARAES",1.44444444444444
"APURIMAC","CHINCHEROS",1.09565217391304
"APURIMAC","COTABAMBAS",1.29054054054054
"APURIMAC","GRAU",1.203125
"AREQUIPA","AREQUIPA",1.6369407496977
"AREQUIPA","CAMANA",0.931972789115646
"AREQUIPA","CARAVELI",1.70769230769231
"AREQUIPA","CASTILLA",1.29245283018868
"AREQUIPA","CAYLLOMA",2.93457943925234
"AREQUIPA","CONDESUYOS",1.46
"AREQUIPA","ISLAY",1.61538461538462
"AREQUIPA","LA UNION",1.05
"AYACUCHO","CANGALLO",1.15929203539823
"AYACUCHO","HUAMANGA",1.39228834870075
"AYACUCHO","HUANCA SANCOS",1.15384615384615
"AYACUCHO","HUANTA",1.91666666666667
"AYACUCHO","LA MAR",1.27016129032258
"AYACUCHO","LUCANAS",1.29661016949153
"AYACUCHO","PARINACOCHAS",0.789473684210526
"AYACUCHO","PAUCAR DEL SARA SARA",0.451612903225806
"AYACUCHO","SIN REGISTRO",0
"AYACUCHO","SUCRE",1.43243243243243
"AYACUCHO","VICTOR FAJARDO",1.2
"AYACUCHO","VILCAS HUAMAN",1.06451612903226
"CAJAMARCA","CAJABAMBA",1.11397058823529
"CAJAMARCA","CAJAMARCA",1.58488063660477
"CAJAMARCA","CELENDIN",1.25287356321839
"CAJAMARCA","CHOTA",1.109375
"CAJAMARCA","CONTUMAZA",1.51666666666667
"CAJAMARCA","CUTERVO",0.879120879120879
"CAJAMARCA","HUALGAYOC",0.425
"CAJAMARCA","JAEN",3.42657342657343
"CAJAMARCA","SAN IGNACIO",1.57857142857143
"CAJAMARCA","SAN MARCOS",1.06703910614525
"CAJAMARCA","SAN MIGUEL",0.946236559139785
"CAJAMARCA","SAN PABLO",0.869047619047619
"CAJAMARCA","SANTA CRUZ",1.11111111111111
"CAJAMARCA","SIN REGISTRO",0
"CALLAO","CALLAO",2.10520738722374
"CUSCO","ACOMAYO",0.977272727272727
"CUSCO","ANTA",1.02083333333333
"CUSCO","CALCA",1.16450216450216
"CUSCO","CANAS",1.05769230769231
"CUSCO","CANCHIS",1.13137254901961
"CUSCO","CHUMBIVILCAS",1.0516717325228
"CUSCO","CUSCO",1.24559232910609
"CUSCO","ESPINAR",1.1042471042471
"CUSCO","LA CONVENCION",1.21495327102804
"CUSCO","PARURO",0.84375
"CUSCO","PAUCARTAMBO",1.18881118881119
"CUSCO","QUISPICANCHI",0.967741935483871
"CUSCO","URUBAMBA",1.21551724137931
"EXTRANJERO","EXTRANJERO",0
"HUANCAVELICA","ACOBAMBA",1.12994350282486
"HUANCAVELICA","ANGARAES",1.65868263473054
"HUANCAVELICA","CASTROVIRREYNA",0.944444444444444
"HUANCAVELICA","CHURCAMPA",1
"HUANCAVELICA","HUANCAVELICA",1.38324420677362
"HUANCAVELICA","HUAYTARA",1.43636363636364
"HUANCAVELICA","TAYACAJA",1.11138613861386
"HUANUCO","AMBO",1.3758865248227
"HUANUCO","DOS DE MAYO",0.91869918699187
"HUANUCO","HUACAYBAMBA",1.43137254901961
"HUANUCO","HUAMALIES",1.13966480446927
"HUANUCO","HUANUCO",1.46613545816733
"HUANUCO","LAURICOCHA",1.37142857142857
"HUANUCO","LEONCIO PRADO",1.77777777777778
"HUANUCO","MARAÑON",1.27027027027027
"HUANUCO","PACHITEA",1.3
"HUANUCO","PUERTO INCA",1.4375
"HUANUCO","YAROWILCA",1.2289156626506
"ICA","CHINCHA",2.17125984251969
"ICA","ICA",1.5357432981316
"ICA","NAZCA",1.52142857142857
"ICA","PALPA",1.13793103448276
"ICA","PISCO",1.75743348982786
"JUNIN","CHANCHAMAYO",1.47504025764895
"JUNIN","CHUPACA",1.44607843137255
"JUNIN","CONCEPCION",2.19191919191919
"JUNIN","HUANCAYO",1.36763412489006
"JUNIN","JAUJA",1.16700610997963
"JUNIN","JUNIN",1.06015037593985
"JUNIN","SATIPO",1.28761061946903
"JUNIN","TARMA",1.27095516569201
"JUNIN","YAULI",0.958620689655172
"LA LIBERTAD","ASCOPE",1.61702127659574
"LA LIBERTAD","BOLIVAR",0.743589743589744
"LA LIBERTAD","CHEPEN",1.89937106918239
"LA LIBERTAD","GRAN CHIMU",1.24358974358974
"LA LIBERTAD","JULCAN",1.39622641509434
"LA LIBERTAD","OTUZCO",1.39147286821705
"LA LIBERTAD","PACASMAYO",1.88501742160279
"LA LIBERTAD","PATAZ",0.864321608040201
"LA LIBERTAD","SANCHEZ CARRION",1.30293159609121
"LA LIBERTAD","SANTIAGO DE CHUCO",1.11042944785276
"LA LIBERTAD","TRUJILLO",1.67671691792295
"LA LIBERTAD","VIRU",2.24463519313305
"LAMBAYEQUE","CHICLAYO",1.91108312342569
"LAMBAYEQUE","FERREÑAFE",1.68695652173913
"LAMBAYEQUE","LAMBAYEQUE",2.06306306306306
"LIMA","BARRANCA",1.92198581560284
"LIMA","CAJATAMBO",0.571428571428571
"LIMA","CANTA",0.868421052631579
"LIMA","CAÑETE",1.74044032444959
"LIMA","HUARAL",1.72669220945083
"LIMA","HUAROCHIRI",1.49171270718232
"LIMA","HUAURA",2.00600240096038
"LIMA","LIMA",2.17087465006148
"LIMA","OYON",1.33333333333333
"LIMA","SIN REGISTRO",0
"LIMA","YAUYOS",1.63157894736842
"LORETO","ALTO AMAZONAS",1.53021978021978
"LORETO","CORONEL PORTILLO",Inf
"LORETO","DATEM DEL MARAÑON",24.75
"LORETO","LORETO",5.61904761904762
"LORETO","MARISCAL RAMON CASTILLA",1.10909090909091
"LORETO","MAYNAS",1.95656894679696
"LORETO","PUTUMAYO",0
"LORETO","REQUENA",1.91304347826087
"LORETO","UCAYALI",1.74683544303797
"MADRE DE DIOS","MANU",1.18181818181818
"MADRE DE DIOS","TAHUAMANU",3.14285714285714
"MADRE DE DIOS","TAMBOPATA",1.60869565217391
"MOQUEGUA","GENERAL SANCHEZ CERRO",1.60714285714286
"MOQUEGUA","ILO",1.73285198555957
"MOQUEGUA","MARISCAL NIETO",2.20822622107969
"PASCO","DANIEL ALCIDES CARRION",1.05172413793103
"PASCO","OXAPAMPA",1.47029702970297
"PASCO","PASCO",1.7373417721519
"PIURA","AYABACA",1.02114803625378
"PIURA","HUANCABAMBA",1.25581395348837
"PIURA","MORROPON",1.63921568627451
"PIURA","PAITA",2.12602739726027
"PIURA","PIURA",2.05385015608741
"PIURA","SECHURA",1.70967741935484
"PIURA","SIN REGISTRO",Inf
"PIURA","SULLANA",1.74570883661793
"PIURA","TALARA",1.98461538461538
"PUNO","AZANGARO",1.34511434511435
"PUNO","CARABAYA",1.34905660377358
"PUNO","CHUCUITO",4.78823529411765
"PUNO","EL COLLAO",1.64903846153846
"PUNO","HUANCANE",1.18240343347639
"PUNO","LAMPA",1.43636363636364
"PUNO","MELGAR",1.19540229885057
"PUNO","MOHO",1.25405405405405
"PUNO","PUNO",1.38818181818182
"PUNO","SAN ANTONIO DE PUTINA",1.03314917127072
"PUNO","SAN ROMAN",1.38423098278734
"PUNO","SANDIA",0.81437125748503
"PUNO","YUNGUYO",1.44021739130435
"SAN MARTIN","BELLAVISTA",1.66346153846154
"SAN MARTIN","EL DORADO",2.42028985507246
"SAN MARTIN","HUALLAGA",1.45054945054945
"SAN MARTIN","LAMAS",0.947552447552448
"SAN MARTIN","MARISCAL CACERES",2.30188679245283
"SAN MARTIN","MOYOBAMBA",1.53456221198157
"SAN MARTIN","PICOTA",2.04225352112676
"SAN MARTIN","RIOJA",1.25515463917526
"SAN MARTIN","SAN MARTIN",1.46642468239564
"SAN MARTIN","TOCACHE",1.74452554744526
"SIN REGISTRO","SIN REGISTRO",1.09935205183585
"TACNA","CANDARAVE",1.41176470588235
"TACNA","JORGE BASADRE",0.826086956521739
"TACNA","TACNA",1.46964643095397
"TACNA","TARATA",1.15
"TUMBES","CONTRALMIRANTE VILLAR",1.25454545454545
"TUMBES","TUMBES",1.69239904988124
"TUMBES","ZARUMILLA",2.15116279069767
"UCAYALI","ATALAYA",1.09090909090909
"UCAYALI","CORONEL PORTILLO",1.81766820749872
"UCAYALI","PADRE ABAD",1.03333333333333
